SNR,correlation,coverage,fdr,length,method,nactive,ndiscoveries,power,power_post_BH,regression_dim,risk,sample_size,signal_type,tuning
0.05,0.7,0.905238095238,0.04,2.95333681974,Selective MLE,3.72,0.3,0.112,0.048,100,1.11864047232,500,1,selective_MLE
0.05,0.7,0.0,0.0,0.0,Randomized LASSO,3.72,0.0,0.0,0.0,100,0.826745258299,500,1,selective_MLE
0.05,0.7,0.896339366858,0.0583333333333,inf,Lee,16.06,0.48,0.16,0.064,100,0.606481746444,500,1,selective_MLE
0.05,0.7,0.718009953293,0.36,1.80323034055,Naive,18.22,0.78,0.38,0.0,100,0.606481746444,500,1,selective_MLE
0.1,0.7,0.897138167388,0.0666666666667,2.03805744419,Selective MLE,5.58,1.24,0.328,0.228,100,0.812188963578,500,1,selective_MLE
0.1,0.7,0.0,0.0,0.0,Randomized LASSO,5.58,0.0,0.0,0.0,100,0.700295664431,500,1,selective_MLE
0.1,0.7,0.834135047629,0.109545454545,inf,Lee,19.6,1.5,0.356,0.18,100,0.398650296901,500,1,selective_MLE
0.1,0.7,0.724421219274,0.34,1.2924447882,Naive,21.66,0.4,0.652,0.0,100,0.398650296901,500,1,selective_MLE
0.15,0.7,0.869679172679,0.0613333333333,1.64987078154,Selective MLE,7.48,1.82,0.48,0.332,100,0.591789402777,500,1,selective_MLE
0.15,0.7,0.0,0.0,0.0,Randomized LASSO,7.48,0.0,0.0,0.0,100,0.586732001573,500,1,selective_MLE
0.15,0.7,0.871529817256,0.113658730159,inf,Lee,21.84,2.18,0.452,0.308,100,0.266817960717,500,1,selective_MLE
0.15,0.7,0.735953965022,0.32,1.08356718193,Naive,23.92,0.56,0.76,0.0,100,0.266817960717,500,1,selective_MLE
0.2,0.7,0.851695443445,0.061380952381,1.39842783719,Selective MLE,7.5,2.96,0.624,0.544,100,0.40776192466,500,1,selective_MLE
0.2,0.7,0.0,0.0,0.0,Randomized LASSO,7.5,0.0,0.0,0.0,100,0.487626752228,500,1,selective_MLE
0.2,0.7,0.867552980668,0.0930555555556,inf,Lee,20.28,2.18,0.552,0.336,100,0.207599545724,500,1,selective_MLE
0.2,0.7,0.692427739069,0.34,0.925488873517,Naive,22.3,0.5,0.82,0.0,100,0.207599545724,500,1,selective_MLE
0.25,0.7,0.895587313014,0.0733333333333,1.27619828265,Selective MLE,8.16,3.38,0.728,0.62,100,0.300554430254,500,1,selective_MLE
0.25,0.7,0.0,0.0,0.0,Randomized LASSO,8.16,0.0,0.0,0.0,100,0.451547708341,500,1,selective_MLE
0.25,0.7,0.875634221242,0.115936507937,inf,Lee,21.28,3.02,0.576,0.428,100,0.178457205606,500,1,selective_MLE
0.25,0.7,0.726470926607,0.38,0.841723670385,Naive,23.24,0.7,0.9,0.0,100,0.178457205606,500,1,selective_MLE
0.3,0.7,0.88966045066,0.0506666666667,1.12991162944,Selective MLE,7.08,4.08,0.808,0.768,100,0.239662294933,500,1,selective_MLE
0.3,0.7,0.0,0.0,0.0,Randomized LASSO,7.08,0.0,0.0,0.0,100,0.417466476111,500,1,selective_MLE
0.3,0.7,0.898605992125,0.118976190476,inf,Lee,20.38,3.12,0.628,0.528,100,0.142653661284,500,1,selective_MLE
0.3,0.7,0.714628649891,0.46,0.754701079716,Naive,22.32,0.64,0.96,0.0,100,0.142653661284,500,1,selective_MLE
0.42,0.7,0.898163780664,0.02,0.952282599856,Selective MLE,7.3,4.78,0.948,0.932,100,0.135011251127,500,1,selective_MLE
0.42,0.7,0.0,0.0,0.0,Randomized LASSO,7.3,0.0,0.0,0.0,100,0.343633849642,500,1,selective_MLE
0.42,0.7,0.862383839929,0.113658730159,inf,Lee,22.16,3.32,0.692,0.54,100,0.100564129182,500,1,selective_MLE
0.42,0.7,0.728642923069,0.42,0.645102579648,Naive,24.06,0.68,0.98,0.0,100,0.100564129182,500,1,selective_MLE
0.71,0.7,0.905436507937,0.022380952381,0.725954560251,Selective MLE,6.62,5.08,0.988,0.988,100,0.0660453156033,500,1,selective_MLE
0.71,0.7,0.0,0.0,0.0,Randomized LASSO,6.62,0.0,0.0,0.0,100,0.325589733329,500,1,selective_MLE
0.71,0.7,0.879464321309,0.0939285714286,inf,Lee,20.46,4.26,0.816,0.744,100,0.0622398248064,500,1,selective_MLE
0.71,0.7,0.706791161013,0.38,0.498224619244,Naive,23.26,0.8,1.0,0.0,100,0.0622398248064,500,1,selective_MLE
1.22,0.7,0.897117604618,0.0233333333333,0.553150093591,Selective MLE,6.66,5.14,1.0,1.0,100,0.0314691475029,500,1,selective_MLE
1.22,0.7,0.0,0.0,0.0,Randomized LASSO,6.66,0.0,0.0,0.0,100,0.20922378322,500,1,selective_MLE
1.22,0.7,0.84938062082,0.11780952381,inf,Lee,22.3,4.78,0.832,0.764,100,0.034510480008,500,1,selective_MLE
1.22,0.7,0.734174716546,0.38,0.384944868613,Naive,25.12,0.64,1.0,0.0,100,0.034510480008,500,1,selective_MLE
2.07,0.7,0.895259018759,0.0233333333333,0.41944806981,Selective MLE,6.62,5.14,1.0,1.0,100,0.0178486248352,500,1,selective_MLE
2.07,0.7,0.0,0.0,0.0,Randomized LASSO,6.62,0.0,0.0,0.0,100,0.115974002994,500,1,selective_MLE
2.07,0.7,0.853498348449,0.117346153846,inf,Lee,22.68,4.68,0.82,0.772,100,0.0205041933808,500,1,selective_MLE
2.07,0.7,0.753284561051,0.34,0.296225025241,Naive,24.9,0.66,1.0,0.0,100,0.0205041933808,500,1,selective_MLE
